GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US01339,01339,ZCTA5 01339,51346,9180,59167,8813,72750,15046,40147,16294
8600000US01340,01340,ZCTA5 01340,54063,5791,61786,4460,68274,10491,33750,9320
8600000US01341,01341,ZCTA5 01341,89688,15962,110179,10222,124125,11305,39792,13269
8600000US01342,01342,ZCTA5 01342,102219,40859,133000,23357,129732,30698,74750,72258
8600000US01343,01343,ZCTA5 01343,83125,15387,83438,9174,83438,9174,-,**
8600000US01344,01344,ZCTA5 01344,61563,12261,72885,7879,77727,8436,39167,11808
8600000US01346,01346,ZCTA5 01346,56500,5637,70000,32128,80000,40624,38125,26761
8600000US01347,01347,ZCTA5 01347,39211,6561,41458,34256,-,**,-,**
8600000US01349,01349,ZCTA5 01349,60493,6753,61938,27065,82917,15120,53750,40041
8600000US01350,01350,ZCTA5 01350,31750,5688,-,**,70417,13617,23500,7601
8600000US01351,01351,ZCTA5 01351,81833,15314,100347,16185,108125,16588,48438,13196
8600000US01354,01354,ZCTA5 01354,74167,10952,84722,8350,90556,11045,46591,16732
8600000US01355,01355,ZCTA5 01355,68681,7891,79688,12618,89318,12848,51458,16341
8600000US01360,01360,ZCTA5 01360,63963,9957,86447,6400,102500,13639,37500,10767
8600000US01364,01364,ZCTA5 01364,37911,5341,56368,5189,61597,12080,17591,3418
8600000US01366,01366,ZCTA5 01366,65774,6654,78750,32527,92500,6403,41563,11269
8600000US01367,01367,ZCTA5 01367,50357,7429,60208,10136,69500,9330,28542,10003
8600000US01368,01368,ZCTA5 01368,67333,10944,77625,13880,84219,9617,42240,7662
8600000US01370,01370,ZCTA5 01370,54803,5803,77941,6148,89063,4206,32434,7212
8600000US01373,01373,ZCTA5 01373,71174,13308,86078,11682,97300,6126,52784,15088
8600000US01375,01375,ZCTA5 01375,53934,12200,67455,30294,86447,26537,31300,8995
8600000US01376,01376,ZCTA5 01376,41836,12225,55408,5138,74310,15851,23784,3494
8600000US01378,01378,ZCTA5 01378,56985,4545,79531,11645,86146,8192,31786,8090
8600000US01379,01379,ZCTA5 01379,44750,5903,62708,8696,68000,5478,33125,8917
8600000US01420,01420,ZCTA5 01420,50617,3746,59307,4165,81030,3395,30962,5550
8600000US01430,01430,ZCTA5 01430,86219,9732,105106,16936,107766,14998,50524,15836
8600000US01431,01431,ZCTA5 01431,89934,10597,92589,15244,106304,9743,51923,18471
8600000US01432,01432,ZCTA5 01432,77462,9927,112625,15331,124018,14789,56462,10592
8600000US01434,01434,ZCTA5 01434,54318,39658,101728,22952,-,**,47288,5330
8600000US01436,01436,ZCTA5 01436,77083,23784,95048,20084,102753,22340,19535,8442
8600000US01438,01438,ZCTA5 01438,70028,17729,70540,17290,70455,15050,-,**
8600000US01440,01440,ZCTA5 01440,46410,2348,59007,4519,74680,4609,32042,8096
8600000US01450,01450,ZCTA5 01450,117500,7614,133194,17263,142639,7361,48199,11368
8600000US01451,01451,ZCTA5 01451,140192,14136,158065,14431,167286,23032,67500,30911
